BindingDB_MonomerID,Affinities
590790,6.9508
590791,6.2596
590797,5.2159
590799,5.0651
590803,5.5558
590805,6.0168
590808,5.5311
590835,6.384
590836,6.2182
590838,5.3389
590841,6.4584
590845,5.4862
590846,6.0482
590850,5.5403
590851,5.6763
590852,5.7934
590853,5.5369
590859,6.2596
590860,6.2596
590864,6.2581
590865,5.8294
590870,5.6354
590892,5.474
590905,6.2596
614234,6.9788
614238,6.9788
614239,6.9788
614241,6.9788
614242,6.9788
614243,6.2218
614248,6.9788
614251,6.9788
614253,6.9788
614257,6.9788
614258,6.2218
614259,6.9788
614261,6.9788
614264,6.2218
616057,4.2967
616065,4.4023
616074,4.5834
616086,4.061
616093,4.065
616094,4.0953
616103,4.1759
616107,4.3893
616122,4.4389
616150,4.5346
616153,4.1169
628471,8.1549
628472,8.3979
628477,7.7447
628487,7.3188
646493,4.9957
646494,7
646495,5.4559
50000727,9.3872
50000729,8.056
50005282,5.4111
50005908,5.1301
50005917,6.0066
50005920,7.8695
50005922,5.2963
50006229,7.6198
50006252,6.6108
50006253,6.5654
50006254,6.4763
50006416,5.58
50006447,3.8239
50008022,9.4949
50008029,6.3439
50009854,7.0862
50009864,6.1952
50011306,6.6778
50011307,8
50011308,5.3979
50011309,7.7447
50011310,8.3768
50011311,6.6696
50011312,7.5376
50011313,7.5528
50011314,8.0458
50011315,7.8239
50011316,8.3468
50011317,8.0757
50011322,8.8539
50011323,8.5229
50011324,8.7959
50011326,8.7212
50011328,8.7696
50011329,7.9208
50011330,8.5376
50011331,8.301
50011332,8.301
50011333,8.3279
50011334,8.4949
50011335,7.0362
50011336,7.1135
50019392,6.202
50023629,7.0055
50023630,7.0223
50023631,6.3002
50023632,6.6003
50023633,7.4815
50023663,6.7932
50023664,6.1451
50023665,7.5686
50023666,7.0315
50023667,7.4949
50023669,6.8697
50023670,6.6925
50023671,6.7235
50023672,5.7852
50023673,6.5058
50023674,5.7258
50023679,6.6421
50023686,6.0516
50023687,6.9031
50023688,6.4295
50023689,6.1593
50023690,6.4989
50023691,6.7423
50023692,6.5072
50023693,6.062
50023701,5.8665
50023704,7.2676
50023715,6.8069
50023719,6.983
50023723,6.7799
50023724,7.0088
50029928,5.9952
50029958,7.8937
50029959,6.1249
50029961,7.0655
50029962,6.8465
50029963,7.4815
50029964,7.1739
50029965,7.2757
50029966,5.6356
50029967,6.0419
50029972,5.4629
50029974,6.3261
50029975,6.3665
50029976,5.4841
50029977,5.4865
50029978,6.9172
50029979,6.7799
50029980,7.4437
50029989,7.6383
50032565,7.699
50032568,5.547
50032599,7.0555
50038644,6.8539
50040901,5.4949
50040934,7.2147
50040935,6.5607
50042659,5.104
50044126,8.0229
50044128,9
50044129,8.2968
50048063,6.5086
50048065,5.0655
50053357,9.1367
50053359,9.1135
50054470,6.699
50054471,5.7892
50054473,5.2918
50055267,8.1427
50055432,6.0726
50055434,5.7491
50055435,6.0809
50055436,5.6819
50055437,5.9066
50055438,5.9431
50055439,5.9747
50055442,6.0458
50055443,5.684
50055444,5.5575
50055451,6.4012
50055452,6.3585
50055453,6.8665
50055456,5.7235
50055457,6.7496
50055460,6.8794
50055461,7.7696
50055462,6.5784
50055463,7.8861
50055564,5.6778
50055565,5.9586
50055567,6
50055571,8.301
50055572,7.5376
50056457,6.7479
50056458,5.7305
50056460,7.0695
50056461,5.8906
50056463,7.0162
50056464,7.3576
50056467,7.5229
50056468,8.1367
50056470,6.6576
50056484,5.8327
50056489,5.0177
50056493,4.9136
50060617,8.2366
50061108,10
50061113,8.8495
50061117,6.8039
50061196,7.3872
50062494,4.7814
50062498,6.1218
50062499,5.8153
50062501,5.9626
50062502,6.7959
50062504,6.2076
50062505,6.7447
50062506,5.8256
50062507,5.6394
50062508,5.8097
50063884,9.2388
50063885,9.4925
50063886,7.6606
50066793,6.3161
50066794,5.7447
50066795,5.4413
50066800,5.5017
50066801,5.5918
50066802,5.6144
50066803,5.2358
50066804,6.0804
50066805,5.6778
50066808,5.6635
50066815,5.3645
50066828,5.3224
50066832,6.6882
50066833,6.4425
50066834,6.821
50066835,6.4976
50066836,7.1024
50066837,6.2182
50066838,6.5544
50066839,6.4962
50067498,7.7258
50067499,9.0316
50067728,6.7282
50067729,7.5376
50067730,8.6338
50067731,7.2218
50067732,8.0362
50067733,7.7447
50067734,7.3236
50067735,9.0915
50067736,7.8861
50067737,8.6734
50067738,7.8861
50067739,7.7212
50067740,9.1003
50067741,9.0655
50067742,9.4604
50068666,7.7673
50068667,6.4311
50068668,5.6865
50068669,8.2856
50070942,4.4737
50072349,5.3213
50072757,8.0706
50072769,8.2757
50072775,8.8533
50074309,6.9101
50074310,7.0889
50074314,7.1135
50074324,7.2218
50074325,5.9512
50080030,7.6576
50080032,7.6517
50080102,7.0605
50080103,7.154
50080104,7.009
50080105,9.0862
50080106,6.9868
50082768,6.644
50082769,6.857
50082771,6.1537
50082772,6.2007
50082773,5.4247
50082774,6.2588
50082775,5.5835
50082776,6.0969
50082777,7.7212
50083842,7.27
50083843,7.7212
50083844,8.9208
50083845,7.9586
50083846,7.5086
50083847,8.4486
50083848,6.4353
50083849,8.9031
50083850,6.3372
50083851,7.6021
50083852,9.1135
50083853,8.4962
50083855,5.4989
50083856,6.983
50083857,8.4318
50083858,7.7773
50083859,6.8447
50083860,8.0458
50083861,8.4737
50083862,8.3098
50083863,7.4437
50083864,8.2725
50083865,6.3487
50083866,9.0655
50083867,7.9393
50083868,8.3279
50083869,7.6799
50083870,6.7235
50083871,7.9586
50083872,6.1361
50083873,6.5129
50083874,7.3468
50083875,5.8861
50083876,8.7799
50089956,6.0878
50089958,5.6629
50089959,5.4811
50089963,5.6434
50089964,5.1576
50089965,6.067
50089968,5.6302
50089970,5.327
50092342,5.2466
50092343,7.3279
50092344,6.6498
50092345,6.9318
50092346,6.0809
50092347,7.5086
50092348,5.7199
50092581,6.3625
50092582,6.6904
50092584,8.699
50092585,6.058
50092586,7.8539
50092588,7.4815
50092589,6.2534
50092590,7.3768
50092591,5.7627
50092594,6.1669
50098184,5.7665
50098802,7
50105105,5.2154
50108987,6.3872
50108988,6.2291
50108989,6.3279
50110946,6.6925
50110949,5.4479
50110954,6.2182
50110959,7.0862
50111511,5.5971
50111513,5.333
50111518,6.5243
50111519,5.0255
50111521,5.9439
50111545,5.4781
50111563,5.3836
50114673,8.2136
50114677,6.4271
50116851,5.3979
50116862,5.2441
50116907,5.8327
50116908,6.4342
50116972,5.5129
50117177,8.1296
50117178,6.7328
50117179,6.4101
50117180,6.6326
50121425,8.8423
50121428,9.1494
50123692,8.1079
50128092,7.6198
50128093,6.7905
50128094,5.4318
50128095,8.0969
50128100,6.6108
50130622,7.2408
50130623,9.3484
50130624,9.2883
50130625,7.4929
50130626,8.7447
50130627,6.7722
50133543,7.7658
50133544,9.2441
50133545,6.5272
50133546,7.9155
50133547,8.7259
50133548,7.1688
50138895,6.7055
50138896,6.5331
50138897,7.6615
50138899,7.857
50138900,7.4377
50138901,6.9245
50138902,7.7932
50138903,7.7799
50138904,6.7077
50138905,6.2336
50138906,6.5528
50138907,6.6556
50138908,6.4711
50138909,7.1226
50138910,6.5935
50138911,6.7696
50138912,7.6162
50138913,6.0487
50138915,7.4449
50138916,6.6696
50138917,6.1469
50138918,7.266
50138919,7.279
50138921,7.3201
50138923,7.1512
50140215,7.8539
50140216,7.4949
50140217,6.4559
50140218,7.5376
50140219,8.0458
50140220,7.3545
50140221,8.301
50140222,7.9586
50140223,7.1079
50140224,7.1903
50140225,7.1805
50140226,7.0269
50140227,6.1135
50140228,6.7852
50140229,6.9957
50140230,7.041
50140231,7.4028
50140232,7.6259
50140233,7.3872
50140234,7.4815
50140235,6.5686
50140236,6.8633
50140237,7.8638
50140238,7.1805
50144609,8.0555
50144610,7.3665
50144611,7.3565
50144612,8.0177
50144613,7.3565
50144614,8.1249
50144615,8.0362
50144616,7.5376
50144617,7.8239
50144618,8.7212
50144619,8.1938
50147009,6.1407
50151870,5.2827
50151913,6.1851
50152102,5.7324
50152109,5.3944
